gene_name,uniprot,gene_alias
AIF1,P52923,CPD1
BIR1,P47134,nan
CPR3,P25719,CYP3
DRE2,P36152,nan
ESP1,Q03018,nan
FIS1,P40515,MDV2
MCA1,Q08601,YCA1
MCD1,Q12158,PDS3| RHC21| SCC1
NMA111,P53920,YNM3
NUC1,P08466,nan
OYE2,Q03558,nan
OYE3,P41816,ZRG6
PET9,P18239,AAC2| ANC2
POR1,P04840,OMP2
RNY1,Q02933,nan
SNL1,P40548,nan
TDH2,P00358,GLD2
TDH3,P00359,GLD1| HSP35| HSP36| SSS2
TIM18,Q08749,nan
YMR074C,Q04773,nan
YSP2,Q06681,nan
YBL055C,P34220,nan
FYV10,P40492,GID9
SNO1,Q03144,nan
STM1,P39015,MPT4
NDI1,P32340,nan
STE20,Q03497,nan
TAH18,Q12181,nan
PDS1,P40316,nan
DNM1,P54861,nan
MDV1,P47025,FIS2|GAG3|NET2
WHI2,P12611,nan
CAF4,P36130,nan
DCP1,Q12517,nan
DCP2,P53550,nan
LSM1,P47017,nan
LSM4,P40070 ,SDB23| USS1
KAP123,P40069,YRB4
SIR2,P06700,1-Mar
HOS3,Q02959 ,nan
YSP1,P38851,nan
IZH2,Q12442,PHO36
TMA19,P35691,MMI1
RAS2,P01120,CTN5| CYR3| GLC5| TSL7
CDC48,P25694,nan
CDC6,P09119,nan
UBP10,P53874,DOT4
ISC1,P40015,nan
WWM1,P43582,nan
BXI1,P48558,YBH3
AIM14,P53109,YNO1
