uniprot_kb,symbol,synonyms,full_name
Q13131,PRKAA1,AMPK|AMPKa1,protein kinase AMP-activated catalytic subunit alpha 1
P54646,PRKAA2,AMPK|AMPK2|AMPKa2|PRKAA,protein kinase AMP-activated catalytic subunit alpha 2
O75385,ULK1,ATG1|ATG1A|UNC51|Unc51.1|hATG1,unc-51 like autophagy activating kinase 1
Q8IYT8,ULK2,ATG1B|Unc51.2,unc-51 like autophagy activating kinase 2
A0A0R4J0B3,O70405,Q6PB82,Ulk1,AU041434|Unc51.1|mKIAA0722,unc-51 like kinase 1
Q3UG39,Q9QY01,Ulk2,A830085I22Rik|AU015340|Unc51.2|mKIAA0623,unc-51 like kinase 2
P53104,ATG1,APG1|AUT3|CVT10,
Q2UGT9,AOR_1_1230144,"AO090023000715",
D8TPY1,VOLCADRAFT_58372,,
D8UDK2,VOLCADRAFT_67317,,
Q2TAZ0,ATG2A,,autophagy related 2A
Q96BY7,ATG2B,C14orf103,autophagy related 2B
Q6P4T0,Atg2a,1810013C15Rik|A830054M12|BC023754|mKIAA0404,autophagy related 2A
Q80XK6,Atg2b,2410024A21Rik|AI047755|AI503411|AW558123|C030004M05Rik|C630028L02Rik|mKIAA4067,autophagy related 2B
P53855,ATG2,APG2|AUT8|SPO72,
D8TXV2,VOLCADRAFT_105023,,
Q9N369,U4PRD2,atg-3,,
Q9H0Y0,ATG10,APG10|APG10L|pp12616,autophagy related 10
Q9NT62,ATG3,APG3|APG3-LIKE|APG3L|PC3-96,autophagy related 3
A0A0R4J029,Q8R1P4,Atg10,5330424L23Rik|5430428K15Rik|AI852123|APG10|Agp10|Apg10l|Apg10p|Atg10l,autophagy related 10
Q9CPX6,Atg3,2610016C12Rik|APG3|Apg3l|Atg3l|PC3-96,autophagy related 3
P40344,ATG3,APG3|AUT1,
D8U1M2,apg3,,
K8ESC5,Q9NA30,atg-4.1,,
Q9U1N6,atg-4.2,,
Q8WYN0,ATG4A,APG4A|AUTL2,autophagy related 4A cysteine peptidase
B3KVU2,Q9Y4P1,ATG4B,APG4B|AUTL1,autophagy related 4B cysteine peptidase
Q96DT6,ATG4C,APG4-C|APG4C|AUTL1|AUTL3,autophagy related 4C cysteine peptidase
